Z-Score,Pi Cycle Oscilator,Cycle Master,Risk Model,,,MAX,MIN,,Std. Z-score,Std. Pi Cycle,Std. Master,Std. Risk Model,Indicator,,,,Date,BTC_Price,,,,,,,,,,,,,,,,,,,,
1.05,0.79,50,0,,Z-Score,7,-0.48,,20.45454545,75.86206897,50,0,0,,,,10/28/12,10.60,,,,,,,,,,,,,,,,,,,,
0.96,0.78,50,2,,Pi Cycle,1,0.13,,19.2513369,74.71264368,50,2,36.46786525,,,,11/04/12,10.90,,,,,,,,,,,,,,,,,,,,
1.22,0.77,50,2,,Master,100,0,,22.72727273,73.56321839,50,2,37.05982278,,,,11/11/12,11.80,,,,,,,,,,,,,,,,,,,,
1.4,0.76,50,2,,Risk Model,100,0,,25.13368984,72.4137931,50,2,37.37007825,,,,11/18/12,12.40,,,,,,,,,,,,,,,,,,,,
1.36,0.75,50,2,,,,,,24.59893048,71.26436782,50,2,36.92689503,,,,11/25/12,12.60,,,,,,,,,,,,,,,,,,,,
1.51,0.74,50,2,,,,,,26.60427807,70.11494253,50,2,37.1463913,,,,12/02/12,13.40,,,,,,,,,,,,,,,,,,,,
1.49,0.73,50,2,,,,,,26.3368984,68.96551724,50,2,36.76661192,,,,12/09/12,13.50,,,,,,,,,,,,,,,,,,,,
1.44,0.73,50,2,,,,,,25.6684492,68.96551724,50,2,36.56606586,,,,12/16/12,13.40,,,,,,,,,,,,,,,,,,,,
1.44,0.73,50,2,,,,,,25.6684492,68.96551724,50,2,36.53796004,,,,12/23/12,13.40,,,,,,,,,,,,,,,,,,,,
1.34,0.72,50,1,,,,,,24.3315508,67.81609195,50,1,35.88914613,,,,12/30/12,13.40,,,,,,,,,,,,,,,,,,,,
1.41,0.71,50,1,,,,,,25.26737968,66.66666667,50,1,35.84236437,,,,01/06/13,14.20,,,,,,,,,,,,,,,,,,,,
1.78,0.71,50,2,,,,,,30.21390374,66.66666667,50,2,37.10971721,,,,01/13/13,15.60,,,,,,,,,,,,,,,,,,,,
2.1,0.71,50,2,,,,,,34.49197861,66.66666667,50,2,38.24490051,,,,01/20/13,17.90,,,,,,,,,,,,,,,,,,,,
2.51,0.71,50,2,,,,,,39.97326203,66.66666667,50,2,39.65515338,,,,01/27/13,19.60,,,,,,,,,,,,,,,,,,,,
3.03,0.72,50,2,,,,,,46.92513369,67.81609195,50,2,41.80817372,,,,02/03/13,23.60,,,,,,,,,,,,,,,,,,,,
3.38,0.74,75,3,,,,,,51.60427807,70.11494253,75,3,49.91108892,,,,02/10/13,27.20,,,,,,,,,,,,,,,,,,,,
3.55,0.76,75,3,,,,,,53.87700535,72.4137931,75,3,51.12142224,,,,02/17/13,29.80,,,,,,,,,,,,,,,,,,,,
3.92,0.78,75,4,,,,,,58.82352941,74.71264368,75,4,53.06829538,,,,02/24/13,34.30,,,,,,,,,,,,,,,,,,,,
4.93,0.81,75,5,,,,,,72.32620321,78.16091954,75,5,57.72873631,,,,03/03/13,46.80,,,,,,,,,,,,,,,,,,,,
4.53,0.85,75,5,,,,,,66.97860963,82.75862069,75,5,57.50981773,,,,03/10/13,47.00,,,,,,,,,,,,,,,,,,,,0
6.2,0.89,100,8,,,,,,89.30481283,87.35632184,100,8,71.06447873,,,,03/17/13,64.30,,,,,,,,,,,,,,,,,,,,
7,0.95,100,11,,,,,,100,94.25287356,100,11,76.38803194,,,,03/24/13,92.20,,,,,,,,,,,,,,,,,,,,
7,1,100,18,,,,,,100,100,100,18,79.49490825,,,,03/31/13,142.60,,,,,,,,,,,,,,,,,,,,
2.94,1,100,11,,,,,,45.72192513,100,100,11,64.16515098,,,,04/07/13,93.00,,,,,,,,,,,,,,,,,,,,
4.02,1,75,15,,,,,,60.16042781,100,75,15,62.58712217,,,,04/14/13,126.60,,,,,,,,,,,,,,,,,,,,
4.19,1,75,15,,,,,,62.43315508,100,75,15,63.12909098,,,,04/21/13,128.00,,,,,,,,,,,,,,,,,,,,
3.1,1,75,13,,,,,,47.86096257,100,75,13,58.92597576,,,,04/28/13,112.90,,,,,,,,,,,,,,,,,,,,
2.81,1,75,13,,,,,,43.98395722,100,75,13,57.9798501,,,,05/05/13,115.60,,,,,,,,,,,,,,,,,,,,
2.74,1,75,14,,,,,,43.04812834,100,75,14,57.92182101,,,,05/12/13,123.20,,,,,,,,,,,,,,,,,,,,
3.07,1,75,14,,,,,,47.45989305,100,75,14,59.23225247,,,,05/19/13,132.00,,,,,,,,,,,,,,,,,,,,
2.62,1,75,14,,,,,,41.44385027,100,75,14,57.57785902,,,,05/26/13,129.30,,,,,,,,,,,,,,,,,,,,
1.73,1,75,11,,,,,,29.54545455,100,75,11,53.89327289,,,,06/02/13,107.90,,,,,,,,,,,,,,,,,,,,
1.67,1,75,10,,,,,,28.74331551,100,75,10,53.39704199,,,,06/09/13,99.80,,,,,,,,,,,,,,,,,,,,
1.68,1,75,11,,,,,,28.87700535,100,75,11,53.62551787,,,,06/16/13,108.20,,,,,,,,,,,,,,,,,,,,
1.3,1,75,9,,,,,,23.79679144,100,75,9,51.92112528,,,,06/23/13,95.00,,,,,,,,,,,,,,,,,,,,
0.75,1,50,6,,,,,,16.44385027,100,50,6,43.06588214,,,,06/30/13,69.70,,,,,,,,,,,,,,,,,,,,
1.31,1,50,9,,,,,,23.93048128,100,50,9,45.70369038,,,,07/07/13,98.30,,,,,,,,,,,,,,,,,,,,
1.17,1,50,8,,,,,,22.05882353,100,50,8,44.9538137,,,,07/14/13,89.80,,,,,,,,,,,,,,,,,,,,
